datetime,subject,model,run_type,transfer_learning,left_hand_correct,right_hand_correct,left_hand_incorrect,right_hand_incorrect,left_hand_total,right_hand_total,total_tasks,correct_total,incorrect_total,accuracy,total_time
2020-04-18 18:38:31.793442,1,DeepConvNet,0,False,8,0,8,0,16,0,16,8,8,0.5,0
2020-05-02 18:04:47.746994,1,DeepConvNet,0,True,0,8,0,8,0,16,16,8,8,0.5,0
2020-05-02 18:04:47.753425,1,EEGNet,0,True,1,5,3,7,4,12,16,6,10,0.38,0
2020-05-02 18:04:47.756418,1,EEGNet_Fusion,0,True,8,0,8,0,16,0,16,8,8,0.5,0
2020-05-02 18:04:47.759414,1,ShallowConvNet,0,True,0,8,0,8,0,16,16,8,8,0.5,0
2020-05-02 18:06:25.596491,1,EEGNet,1,True,0,1,7,0,7,1,8,1,7,0.12,0
2020-05-02 18:14:24.890508,1,EEGNet,1,True,0,1,7,0,7,1,8,1,7,0.12,0
2020-05-02 18:16:47.094712,1,DeepConvNet,1,True,0,64,0,64,0,128,128,64,64,0.5,0
2020-05-02 18:16:47.098706,1,EEGNet_Fusion,1,True,24,24,40,40,64,64,128,48,80,0.38,0
2020-05-02 18:16:47.100708,1,EEGNet,1,True,15,43,21,49,36,92,128,58,70,0.45,0
2020-05-02 18:16:47.103708,1,ShallowConvNet,1,True,0,64,0,64,0,128,128,64,64,0.5,0
